walk,sec0,sec1,sec2,sec3
863,4563,47511,28921,18125
864,1794,8129,70154,19275
865,4398,2716,71108,21295
866,129,46,82454,17102
867,99184,55,617,41
868,11094,44985,2234,41103
869,4231,10669,45944,38285
870,51,672,68732,30193
871,82644,14529,2460,0
872,6136,10261,70781,12258
873,3233,355,96204,2
874,14745,42508,6694,35249
875,102,22113,1684,75577
876,29378,21253,29386,19331
877,601,2800,71646,24400
878,36362,53959,6274,2494
879,9384,2231,87928,285
880,36375,2061,51852,9048
881,22868,42312,6487,26972
882,27047,46760,17064,8334
883,75,10028,28098,61468
884,17818,607,75782,5057
885,43654,36536,2164,17161
886,18792,38250,9852,32223
887,0,98327,173,1410
888,284,511,11022,87995
889,1068,1107,96947,637
890,4,75,0,99908
891,3603,839,86686,8434
892,36426,75,62894,285
893,21671,26781,667,50590
894,95,49121,0,50474
895,239,11,2597,96939
896,83431,6786,2329,6997
897,157,247,66990,32039
898,1118,81,2891,95594
899,63831,6142,24481,5205
900,209,49,98180,1466
901,7677,107,83668,8085
902,2,1,76430,23484
903,709,2232,36510,60250
904,31853,58780,1377,7211
905,47022,965,51720,1
906,35991,51,57602,5641
907,0,0,94802,4791
908,4184,7,95724,0
909,35489,1783,17705,44661
910,145,3900,48380,47249
911,4488,1685,196,93370
912,1206,1611,94678,2271
913,0,142,98685,1118
914,23138,51289,11179,13501
915,95529,571,403,3366
916,14303,2793,79373,3105
917,82961,370,15109,1204
918,2568,61281,719,34732
919,681,38463,59,60468
920,579,7218,52309,39444
921,924,3157,32125,63231
922,0,6,35929,63893
923,13920,30783,89,54522
924,13170,4515,52185,28970
925,70482,103,29072,17
926,5772,1786,28741,63101
927,6913,85935,0,6807
928,22558,2785,43242,31156
929,85200,1062,13266,8
930,238,90917,4,8291
931,33659,11467,51532,2328
932,25671,3616,68000,2052
933,962,35987,12969,49324
934,866,615,251,98132
935,59490,38203,1442,14
936,26141,3616,60544,9069
937,5741,89436,135,4121
938,47313,18,52441,33
939,6986,23936,23350,45303
940,2110,2138,20611,74463
941,1089,1845,25026,71241
942,945,10,92582,6251
943,12972,17196,60127,9333
944,8940,89467,766,596
945,19389,26320,24072,29175
946,43753,221,43658,11797
947,10835,44719,116,43812
948,943,2410,5,96488
949,97175,956,1486,227
950,75529,26,23811,489
951,32033,60085,3952,3569
952,7640,65575,17510,8663
953,40,1466,6216,92176
954,30530,4382,59943,4317
955,98481,31,1366,0
956,316,1127,69456,28639
957,5776,3,91138,2738
958,5860,45760,6597,40322
959,26872,17474,33822,20879
960,6662,89223,232,3608
961,71343,25276,558,2565
962,38810,10223,27713,22405
963,46798,8204,42440,1844
964,20427,16091,48107,14650
965,60103,24803,14237,326
966,85249,6593,7720,41
967,84651,446,14414,198
968,86329,990,11685,395
969,233,25,34489,65037
970,4804,86394,399,7830
971,58147,33595,7578,448
972,15601,8821,48904,25392
973,86096,1917,8184,3493
974,360,418,65607,33119
975,30475,1881,65026,1819
976,62481,28701,8309,34
977,15698,75555,6616,1408
978,1035,28712,206,69692
979,2840,984,56488,38797
980,1808,93610,55,4327
981,2438,4540,74181,18063
982,15466,77281,84,6991
983,11896,12687,23632,50894
984,5959,9695,2939,81043
985,2,0,84,99884
986,11866,85229,2454,133
987,3692,183,95964,29
988,74758,17451,7377,0
989,13476,2777,35548,47519
990,57883,25,40375,1575
991,856,31409,15113,51977
992,12750,10391,38613,37682
993,199,1,99270,399
994,373,94078,38,5198
995,71667,0,18979,9263
996,47566,2091,41086,8691
997,13934,80932,2940,2062
998,58463,2045,39052,118
999,99930,1,48,3
