walk,n_minus,n_zero,n_plus,m_over_n
219,1021,83,8896,0.8937500000
220,495,40,9465,0.9485000000
221,1203,52,8745,0.8771000000
222,9660,32,308,0.9676000000
223,9995,3,2,0.9996500000
224,6999,176,2825,0.7087000000
225,3040,26,6934,0.6947000000
226,9809,20,171,0.9819000000
227,74,5,9921,0.9923500000
228,5895,57,4048,0.5923500000
229,1359,52,8589,0.8615000000
230,762,49,9189,0.9213500000
231,3968,113,5919,0.5975500000
232,1601,97,8302,0.8350500000
233,83,27,9890,0.9903500000
234,347,24,9629,0.9641000000
235,9488,80,432,0.9528000000
236,8756,49,1195,0.8780500000
237,6202,140,3658,0.6272000000
238,895,141,8964,0.9034500000
239,6995,104,2901,0.7047000000
240,3859,115,6026,0.6083500000
241,6280,53,3667,0.6306500000
242,9190,106,704,0.9243000000
243,5971,59,3970,0.6000500000
244,3167,152,6681,0.6757000000
245,7197,204,2599,0.7299000000
246,9942,24,34,0.9954000000
247,9514,96,390,0.9562000000
248,1846,124,8030,0.8092000000
249,50,52,9898,0.9924000000
250,8303,77,1620,0.8341500000
251,1328,171,8501,0.8586500000
252,72,14,9914,0.9921000000
253,8262,98,1640,0.8311000000
254,9,6,9985,0.9988000000
255,709,18,9273,0.9282000000
256,9947,18,35,0.9956000000
257,9848,42,110,0.9869000000
258,1238,173,8589,0.8675500000
259,611,74,9315,0.9352000000
260,8887,46,1067,0.8910000000
261,312,33,9655,0.9671500000
262,4297,45,5658,0.5680500000
263,9939,24,37,0.9951000000
264,1621,21,8358,0.8368500000
265,8955,41,1004,0.8975500000
266,9885,17,98,0.9893500000
267,172,17,9811,0.9819500000
268,139,47,9814,0.9837500000
269,3226,156,6618,0.6696000000
270,6386,50,3564,0.6411000000
271,2750,105,7145,0.7197500000
272,3006,143,6851,0.6922500000
273,10000,0,0,1.0000000000
274,9428,95,477,0.9475500000
275,4656,108,5236,0.5290000000
276,3608,60,6332,0.6362000000
277,1688,119,8193,0.8252500000
278,2863,49,7088,0.7112500000
279,9983,13,4,0.9989500000
280,89,37,9874,0.9892500000
281,9901,29,70,0.9915500000
282,1538,72,8390,0.8426000000
283,6550,185,3265,0.6642500000
284,8346,74,1580,0.8383000000
285,338,16,9646,0.9654000000
286,4968,52,4980,0.5006000000
287,1981,31,7988,0.8003500000
288,2681,157,7162,0.7240500000
289,7875,120,2005,0.7935000000
290,7383,127,2490,0.7446500000
291,4994,150,4856,0.5069000000
292,8915,32,1053,0.8931000000
293,3541,113,6346,0.6402500000
294,9985,2,13,0.9986000000
295,2623,117,7260,0.7318500000
296,6120,66,3814,0.6153000000
297,4182,95,5723,0.5770500000
298,57,13,9930,0.9936500000
299,4408,118,5474,0.5533000000
300,1441,120,8439,0.8499000000
301,198,16,9786,0.9794000000
302,2815,74,7111,0.7148000000
303,9001,62,937,0.9032000000
304,2241,48,7711,0.7735000000
305,7742,168,2090,0.7826000000
306,6914,133,2953,0.6980500000
307,2443,175,7382,0.7469500000
308,8107,25,1868,0.8119500000
309,9231,109,660,0.9285500000
310,3,3,9994,0.9995500000
311,24,21,9955,0.9965500000
312,531,15,9454,0.9461500000
313,120,33,9847,0.9863500000
314,8475,158,1367,0.8554000000
315,4213,120,5667,0.5727000000
316,3,5,9992,0.9994500000
317,4276,103,5621,0.5672500000
318,624,55,9321,0.9348500000
319,642,51,9307,0.9332500000
320,7876,93,2031,0.7922500000
321,1057,102,8841,0.8892000000
322,4184,91,5725,0.5770500000
323,777,61,9162,0.9192500000
324,3701,24,6275,0.6287000000
325,3839,70,6091,0.6126000000
326,7313,61,2626,0.7343500000
327,9933,22,45,0.9944000000
328,9786,35,179,0.9803500000
329,4305,101,5594,0.5644500000
330,4481,69,5450,0.5484500000
331,8118,92,1790,0.8164000000
332,5980,161,3859,0.6060500000
333,5369,95,4536,0.5416500000
334,1776,76,8148,0.8186000000
335,98,21,9881,0.9891500000
336,8792,105,1103,0.8844500000
337,7083,184,2733,0.7175000000
338,3066,183,6751,0.6842500000
339,7541,160,2299,0.7621000000
340,6274,15,3711,0.6281500000
341,9810,19,171,0.9819500000
342,7908,122,1970,0.7969000000
343,51,13,9936,0.9942500000
344,9745,19,236,0.9754500000
345,9127,48,825,0.9151000000
346,9370,70,560,0.9405000000
347,8956,20,1024,0.8966000000
348,9782,64,154,0.9814000000
349,3608,232,6160,0.6276000000
350,297,99,9604,0.9653500000
351,9945,19,36,0.9954500000
352,3888,148,5964,0.6038000000
353,9618,31,351,0.9633500000
354,42,21,9937,0.9947500000
355,7699,46,2255,0.7722000000
356,9921,18,61,0.9930000000
357,5010,67,4923,0.5043500000
358,8433,129,1438,0.8497500000
359,660,41,9299,0.9319500000
360,8321,43,1636,0.8342500000
361,6124,163,3713,0.6205500000
362,3520,174,6306,0.6393000000
363,125,21,9854,0.9864500000
364,7948,159,1893,0.8027500000
365,2314,139,7547,0.7616500000
366,266,28,9706,0.9720000000
367,522,92,9386,0.9432000000
368,8248,67,1685,0.8281500000
369,4822,121,5057,0.5117500000
370,8980,51,969,0.9005500000
371,8480,154,1366,0.8557000000
372,3510,176,6314,0.6402000000
373,5928,61,4011,0.5958500000
374,3458,289,6253,0.6397500000
375,6984,110,2906,0.7039000000
376,5797,157,4046,0.5875500000
377,5354,76,4570,0.5392000000
378,1509,39,8452,0.8471500000
379,4763,150,5087,0.5162000000
380,6898,102,3000,0.6949000000
381,542,46,9412,0.9435000000
382,8303,97,1600,0.8351500000
383,2425,167,7408,0.7491500000
384,7785,182,2033,0.7876000000
385,7668,156,2176,0.7746000000
386,5162,73,4765,0.5198500000
387,1126,112,8762,0.8818000000
388,3197,175,6628,0.6715500000
389,8619,83,1298,0.8660500000
390,228,19,9753,0.9762500000
391,817,110,9073,0.9128000000
392,4233,121,5646,0.5706500000
393,9678,63,259,0.9709500000
394,3351,66,6583,0.6616000000
395,485,30,9485,0.9500000000
396,1795,26,8179,0.8192000000
397,1352,127,8521,0.8584500000
398,5769,81,4150,0.5809500000
399,0,3,9997,0.9998500000
400,7046,45,2909,0.7068500000
401,7313,114,2573,0.7370000000
402,6257,120,3623,0.6317000000
403,425,69,9506,0.9540500000
404,4506,52,5442,0.5468000000
405,1909,122,7969,0.8030000000
406,5753,139,4108,0.5822500000
407,9650,12,338,0.9656000000
408,7754,137,2109,0.7822500000
409,3920,19,6061,0.6070500000
410,6227,173,3600,0.6313500000
411,7282,76,2642,0.7320000000
412,400,31,9569,0.9584500000
413,1159,96,8745,0.8793000000
414,107,9,9884,0.9888500000
415,8780,86,1134,0.8823000000
416,7630,36,2334,0.7648000000
417,7361,122,2517,0.7422000000
418,1171,76,8753,0.8791000000
419,5269,116,4615,0.5327000000
420,280,37,9683,0.9701500000
421,9979,12,9,0.9985000000
422,9710,21,269,0.9720500000
423,7568,67,2365,0.7601500000
424,8770,70,1160,0.8805000000
425,9291,56,653,0.9319000000
426,8463,119,1418,0.8522500000
427,3284,90,6626,0.6671000000
428,3292,213,6495,0.6601500000
429,1238,53,8709,0.8735500000
430,2915,120,6965,0.7025000000
431,4652,45,5303,0.5325500000
432,7899,74,2027,0.7936000000
433,1717,114,8169,0.8226000000
434,4265,234,5501,0.5618000000
435,4946,187,4867,0.5039500000
436,9912,22,66,0.9923000000
437,3722,106,6172,0.6225000000
438,515,48,9437,0.9461000000
439,7,5,9988,0.9990500000
440,867,91,9042,0.9087500000
441,2414,56,7530,0.7558000000
442,1338,76,8586,0.8624000000
443,186,34,9780,0.9797000000
